# #JD, mag, error
1.006214347345528950e+03,nan,nan
1.006234780186845455e+03,nan,nan
1.006255212928168476e+03,nan,nan
1.006275645569257904e+03,9.999148953092235059e-01,1.739970446749257676e-04
1.006296078410108748e+03,1.000000000000000000e+00,1.740137200044284359e-04
1.006316511150733277e+03,9.999053778158144556e-01,1.740008662102595271e-04
1.006336943791124213e+03,1.000000000000000000e+00,1.739929078945222677e-04
1.006357376631509396e+03,1.000179751126831107e+00,1.739876730955735673e-04
1.006377809371435433e+03,9.998937366906646140e-01,1.739996081773159480e-04
1.006398242011360708e+03,9.999108387422575017e-01,1.740088384174265953e-04
1.006418674851047399e+03,9.997735308812790711e-01,1.739936511051719476e-04
1.006439107590740605e+03,1.000075619844914998e+00,1.740283424756657006e-04
1.006459540429961635e+03,9.999375437193964711e-01,1.740032118367503379e-04
1.006479973069188418e+03,9.997736178292294662e-01,1.740066197462353020e-04
1.006500405808183132e+03,9.995489575191779386e-01,1.740241758663121810e-04
1.006520838646945776e+03,1.000000000000000000e+00,1.740403721588613256e-04
1.006541271285699622e+03,1.000066399977706411e+00,1.740508890125814080e-04
1.006561704023995844e+03,9.999596357336393293e-01,1.740451712472921219e-04
1.006582136862285552e+03,1.000195766691849508e+00,1.740567738152535345e-04
1.006602569500348181e+03,1.000328501472009579e+00,1.740625394423418444e-04
1.006623002238178742e+03,1.000266895458000516e+00,1.740708624905848846e-04
1.006643435076010064e+03,1.000000000000000000e+00,1.740765974688295427e-04
1.006663867813367688e+03,9.995999377510060846e-01,1.740555297562338072e-04
1.006684300450731826e+03,9.997253722494089390e-01,1.740773030332308264e-04
1.006704733287857380e+03,1.000000000000000000e+00,1.740780508962596284e-04
1.006725166024756618e+03,9.999924060863584208e-01,1.740974825136921251e-04
1.006745598761655856e+03,9.996503889411014754e-01,1.740808278755269349e-04
1.006766031498089433e+03,1.000094978145893876e+00,1.740943339348996336e-04
1.006786464234515734e+03,1.000448841534136379e+00,1.741102548843300574e-04
1.006806896970716480e+03,1.000000000000000000e+00,1.740919706351302108e-04
1.006827329706909950e+03,1.000140852816210346e+00,1.741257801369683084e-04
1.006847762442645035e+03,1.000175760662436852e+00,1.741274412752185903e-04
1.006868195178380120e+03,9.999750012186905401e-01,1.741113264320611918e-04
1.006888627913882374e+03,1.000221135283547724e+00,1.741360314703270507e-04
1.006909060549143760e+03,9.999130842189881685e-01,1.741190486899212670e-04
1.006929493384181114e+03,9.998573146482185869e-01,1.741173592284070849e-04
1.006949926119210431e+03,1.000000000000000000e+00,1.741299645520519713e-04
1.006970358954014955e+03,9.998223139113208147e-01,1.741285091492651043e-04
1.006990791588585125e+03,9.998773112550001230e-01,1.741141010519153777e-04
1.007011224322923226e+03,9.999746159874857154e-01,1.741224045568340751e-04
1.007031657157021982e+03,1.000075768210812566e+00,1.741276819838783547e-04
1.007052089791126491e+03,1.000050384697744210e+00,1.741134790008490947e-04
1.007072522524991655e+03,1.000086923336021449e+00,1.741289017942325066e-04
1.007092955358632025e+03,1.000445907145534497e+00,1.741563367967406337e-04
1.007113387992038042e+03,1.000107413936866863e+00,1.741302920581457492e-04
1.007133820725211990e+03,1.000122992323413396e+00,1.741559644480844397e-04
1.007154253558379423e+03,9.998194059031190184e-01,1.741241189118549468e-04
1.007174686291320540e+03,9.993966446750670585e-01,1.741358238416544136e-04
1.007195118924020790e+03,9.999833618634097476e-01,1.741700790362279961e-04
1.007215551756497007e+03,9.996721421523920847e-01,1.741573528603565545e-04
1.007235984488972463e+03,9.999195983688471401e-01,1.741660874312498612e-04
1.007256417221207812e+03,9.997793737117910418e-01,1.741515387099714545e-04
1.007276849953217607e+03,1.000016638413422365e+00,1.741899885142651760e-04
1.007297282684994570e+03,9.998832370423654803e-01,1.741515785191395964e-04
1.007317715416531428e+03,1.000196980599046048e+00,1.741959773117760576e-04
1.007338148148075561e+03,1.000272875834281594e+00,1.741868791619395943e-04
1.007358580879386864e+03,1.000072239885670511e+00,1.741837044533713237e-04
1.007379013710458821e+03,1.000184113540915964e+00,1.741958026352681533e-04
1.007399446341303701e+03,1.000000000000000000e+00,1.741770618950538028e-04
1.007419879072149342e+03,1.000298871876502682e+00,1.741867258231217142e-04
1.007440311802754877e+03,1.000786955526768107e+00,1.742941328098013460e-04
1.007460744533134857e+03,9.998382946229643631e-01,1.741822912122410554e-04
1.007481177363282768e+03,9.996756272865173765e-01,1.741871761623764523e-04
1.007501610093189811e+03,1.000000000000000000e+00,1.742324793778147552e-04
1.007522042723103368e+03,9.996457103488266549e-01,1.742179771821003218e-04
1.007542475552785618e+03,9.996038619896728816e-01,1.742115659853567429e-04
