# #JD, mag, error
2.623087772392173065e+02,9.999057553567075596e-01,1.739320063042976475e-04
2.623292099851969397e+02,9.996933757114435659e-01,1.739122581070321372e-04
2.623496427311765729e+02,9.998268404457452130e-01,1.739110599635323312e-04
2.623700754766832688e+02,9.997818810394802913e-01,1.739519689339438097e-04
2.623905082221972407e+02,9.993618209801093943e-01,1.739115651542979895e-04
2.624109409674783819e+02,9.996923325528619397e-01,1.739460868271738056e-04
2.624313737125194166e+02,9.999598365167517988e-01,1.739588078815639102e-04
2.624518064575677272e+02,9.993928315177538213e-01,1.739366084902494759e-04
2.624722393021511380e+02,9.996601537782989766e-01,1.739641510472305264e-04
2.624926719467257499e+02,9.998414113673435022e-01,1.739635195270543126e-04
2.625131046910755686e+02,9.996147160774484508e-01,1.739220471787500215e-04
2.625335373351917951e+02,1.000081929271616765e+00,1.739710423903967807e-04
2.625539701790694380e+02,1.000170442985269359e+00,1.739730977320618464e-04
2.625744029227207648e+02,1.000125856906341371e+00,1.739288447333070455e-04
2.625948355663713301e+02,1.000044398139943613e+00,1.739642233658015799e-04
2.626152684097833117e+02,9.999972721322726299e-01,1.739543755061546894e-04
2.626357011529689771e+02,9.996792403810210725e-01,1.739517230552984034e-04
2.626561338959218119e+02,9.997926820527185399e-01,1.739782820112749893e-04
2.626765665386337787e+02,9.995164135778575876e-01,1.739584670202831674e-04
2.626969993811217137e+02,9.996534657889180053e-01,1.739838089034376992e-04
2.627174321236088872e+02,9.996623078670509033e-01,1.739655861718716673e-04
2.627378647658551927e+02,9.998527881408759699e-01,1.739880736759139772e-04
2.627582976078774664e+02,9.996548752005585126e-01,1.739758906856881413e-04
2.627787303496661480e+02,9.997145124648937342e-01,1.739516395307805349e-04
2.627991629914467921e+02,9.999366939889013928e-01,1.739864877675713665e-04
2.628195958327705739e+02,9.996646568654287135e-01,1.739616853683958358e-04
2.628400285740935942e+02,1.000201018695397126e+00,1.739887988208165166e-04
2.628604612151757465e+02,1.000165933152456166e+00,1.739933419065364209e-04
2.628808939560331055e+02,1.000036874391149189e+00,1.739757710145932218e-04
2.629013267966583953e+02,9.998886235964833391e-01,1.739757487817265239e-04
2.629217594372748863e+02,9.999086597602407922e-01,1.739712461192744614e-04
2.629421921776665840e+02,1.000045529244543818e+00,1.740282308691629338e-04
2.629626250178262126e+02,1.000070457446618377e+00,1.739964114927125094e-04
2.629830577577449731e+02,9.996575899790508535e-01,1.739988229214582953e-04
2.630034903974374174e+02,9.998524062299810611e-01,1.740024974795471185e-04
2.630239231368977926e+02,1.000338270998717860e+00,1.739635816127876498e-04
2.630443559763516532e+02,9.994795179544199160e-01,1.739603089594897955e-04
2.630647886155784363e+02,1.000120690125515743e+00,1.739783028111309947e-04
2.630852213545731502e+02,1.000214288469154500e+00,1.740297351413805198e-04
2.631056541933285189e+02,1.000176568254401266e+00,1.740016710913578485e-04
2.631260868320896407e+02,9.996367943417807655e-01,1.739920179815374664e-04
2.631465195703858626e+02,9.993703804499414201e-01,1.739834243061108945e-04
2.631669524086755700e+02,9.997811900383331007e-01,1.740342954100518563e-04
2.631873850467381999e+02,9.995151529290821069e-01,1.740187247869410354e-04
2.632078177845687605e+02,9.997567298165709326e-01,1.740400953906803068e-04
2.632282505221592146e+02,9.992256922298294874e-01,1.739937806153364489e-04
2.632486832597569446e+02,9.994894624369660141e-01,1.739815328998220890e-04
2.632691159971218440e+02,1.000066980421020935e+00,1.740356550915656117e-04
2.632895487342466367e+02,9.999532452148311990e-01,1.740128454825552512e-04
2.633099815711466363e+02,1.000076670004398816e+00,1.740369986723918521e-04
2.633304142078122823e+02,9.999051752846151997e-01,1.740201120866587928e-04
2.633508469444714137e+02,9.997683947441599051e-01,1.740250062056650389e-04
2.633712795809042291e+02,1.000000000000000000e+00,1.740476170163918462e-04
2.633917124168729060e+02,9.998834454320486564e-01,1.740441525367280836e-04
2.634121451530663762e+02,9.999030123005990811e-01,1.740398118359552779e-04
2.634325778888014611e+02,1.000203664761593725e+00,1.740504568878505260e-04
2.634530106243037153e+02,1.000036593755412095e+00,1.740467088780789785e-04
